Attacker: Sun_Run_Geng, Target: 23, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.2037859559059143, Loss: -0.5924280881881714, Success Rate: 0.23999999463558197
Attacker: Sun_Run_Geng, Target: 45, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.0039398702792823315, Loss: -0.9921202659606934, Success Rate: 0.0
Attacker: Sun_Run_Geng, Target: 45, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.32787269353866577, Loss: -0.34425461292266846, Success Rate: 0.5999999642372131
Attacker: Sun_Run_Geng, Target: 45, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.026871666312217712, Loss: -0.9462566375732422, Success Rate: 0.0
Attacker: Sun_Run_Geng, Target: 57, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.0005416865460574627, Loss: -0.9989166259765625, Success Rate: 0.0
Attacker: Sun_Run_Geng, Target: 57, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.6664762496948242, Loss: 0.33295249938964844, Success Rate: 0.7400000095367432
Attacker: Sun_Run_Geng, Target: 57, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.15534931421279907, Loss: -0.6893013715744019, Success Rate: 0.23999999463558197
Attacker: Sun_Tian_Yi, Target: 30, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.4965900182723999, Loss: -0.006819963455200195, Success Rate: 0.7999999523162842
Attacker: Sun_Tian_Yi, Target: 30, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.6215463876724243, Loss: 0.24309277534484863, Success Rate: 0.9599999785423279
Attacker: Sun_Tian_Yi, Target: 30, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.6325386762619019, Loss: 0.2650773525238037, Success Rate: 0.9599999785423279
Attacker: Sun_Tian_Yi, Target: 47, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.020247144624590874, Loss: -0.9595057368278503, Success Rate: 0.0
Attacker: Sun_Tian_Yi, Target: 47, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.45178624987602234, Loss: -0.09642750024795532, Success Rate: 0.9199999570846558
Attacker: Sun_Tian_Yi, Target: 47, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.10983086377382278, Loss: -0.7803382873535156, Success Rate: 0.019999999552965164
Attacker: Sun_Tian_Yi, Target: 58, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.15359558165073395, Loss: -0.6928088665008545, Success Rate: 0.5199999809265137
Attacker: Sun_Tian_Yi, Target: 58, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.14297637343406677, Loss: -0.7140472531318665, Success Rate: 0.35999998450279236
Attacker: Sun_Tian_Yi, Target: 58, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.10385590046644211, Loss: -0.7922881841659546, Success Rate: 0.0
Attacker: Tang_Xiang_Yun, Target: 54, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.026680460199713707, Loss: -0.9466390609741211, Success Rate: 0.0
Attacker: Tang_Xiang_Yun, Target: 54, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.4140017032623291, Loss: -0.1719965934753418, Success Rate: 0.7234042286872864
Attacker: Tang_Xiang_Yun, Target: 54, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.041587844491004944, Loss: -0.9168243408203125, Success Rate: 0.0
Attacker: Tang_Xiang_Yun, Target: 68, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.004889233969151974, Loss: -0.9902215600013733, Success Rate: 0.021276595070958138
Attacker: Tang_Xiang_Yun, Target: 68, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.11098504066467285, Loss: -0.7780299186706543, Success Rate: 0.27659574151039124
Attacker: Tang_Xiang_Yun, Target: 68, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.11620169132947922, Loss: -0.7675966024398804, Success Rate: 0.08510638028383255
Attacker: Tang_Xiang_Yun, Target: 96, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.011534031480550766, Loss: -0.9769319295883179, Success Rate: 0.021276595070958138
Attacker: Tang_Xiang_Yun, Target: 96, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.8281968832015991, Loss: 0.6563937664031982, Success Rate: 0.9361701607704163
Attacker: Tang_Xiang_Yun, Target: 96, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.8573234677314758, Loss: 0.7146469354629517, Success Rate: 0.9999999403953552
Attacker: Wang_Huan, Target: 50, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.008304912596940994, Loss: -0.9833901524543762, Success Rate: 0.019999999552965164
Attacker: Wang_Huan, Target: 50, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.5229446291923523, Loss: 0.04588925838470459, Success Rate: 0.699999988079071
Attacker: Wang_Huan, Target: 50, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.006703828927129507, Loss: -0.9865923523902893, Success Rate: 0.0
Attacker: Wang_Huan, Target: 72, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.10920634865760803, Loss: -0.7815873026847839, Success Rate: 0.1599999964237213
Attacker: Wang_Huan, Target: 72, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.47237974405288696, Loss: -0.055240511894226074, Success Rate: 0.6599999666213989
Attacker: Wang_Huan, Target: 72, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.0316803902387619, Loss: -0.9366391897201538, Success Rate: 0.0
Attacker: Wang_Huan, Target: 86, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.003346088109537959, Loss: -0.9933078289031982, Success Rate: 0.019999999552965164
Attacker: Wang_Huan, Target: 86, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.4551905691623688, Loss: -0.08961886167526245, Success Rate: 0.6800000071525574
Attacker: Wang_Huan, Target: 86, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.0010145573178306222, Loss: -0.9979708790779114, Success Rate: 0.0
Attacker: Wang_Ming_Hui, Target: 82, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.11294140666723251, Loss: -0.7741171717643738, Success Rate: 0.25
Attacker: Wang_Ming_Hui, Target: 82, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.22965240478515625, Loss: -0.5406951904296875, Success Rate: 0.40909093618392944
Attacker: Wang_Ming_Hui, Target: 82, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.11864838004112244, Loss: -0.7627032399177551, Success Rate: 0.11363636702299118
Attacker: Wang_Ming_Hui, Target: 108, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.21098673343658447, Loss: -0.578026533126831, Success Rate: 0.3636363744735718
Attacker: Wang_Ming_Hui, Target: 108, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.2527461051940918, Loss: -0.4945077896118164, Success Rate: 0.4545454680919647
Attacker: Wang_Ming_Hui, Target: 108, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.3082658350467682, Loss: -0.3834683299064636, Success Rate: 0.6136363744735718
Attacker: Wang_Ming_Hui, Target: 129, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.19600771367549896, Loss: -0.6079845428466797, Success Rate: 0.29545456171035767
Attacker: Wang_Ming_Hui, Target: 129, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.24519197642803192, Loss: -0.5096160173416138, Success Rate: 0.4318181872367859
Attacker: Wang_Ming_Hui, Target: 129, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.006722705904394388, Loss: -0.9865545630455017, Success Rate: 0.022727273404598236
Attacker: Yu_Hao, Target: 89, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.028958385810256004, Loss: -0.9420832395553589, Success Rate: 0.10000000149011612
Attacker: Yu_Hao, Target: 89, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.7854963541030884, Loss: 0.5709927082061768, Success Rate: 0.949999988079071
Attacker: Yu_Hao, Target: 89, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.45261311531066895, Loss: -0.09477376937866211, Success Rate: 0.699999988079071
Attacker: Yu_Hao, Target: 143, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.015313602983951569, Loss: -0.9693728089332581, Success Rate: 0.0
Attacker: Yu_Hao, Target: 143, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.7452782392501831, Loss: 0.4905564785003662, Success Rate: 0.8500000238418579
Attacker: Yu_Hao, Target: 143, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.12950961291790009, Loss: -0.7409807443618774, Success Rate: 0.10000000149011612
Attacker: Yu_Hao, Target: 150, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.005788877606391907, Loss: -0.9884222745895386, Success Rate: 0.0
Attacker: Yu_Hao, Target: 150, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.06273497641086578, Loss: -0.8745300769805908, Success Rate: 0.10000000149011612
Attacker: Yu_Hao, Target: 150, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.028012240305542946, Loss: -0.9439755082130432, Success Rate: 0.0
Attacker: Zhang_Jie, Target: 123, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.006822268012911081, Loss: -0.9863554835319519, Success Rate: 0.0
Attacker: Zhang_Jie, Target: 123, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.31763988733291626, Loss: -0.3647202253341675, Success Rate: 0.3799999952316284
Attacker: Zhang_Jie, Target: 123, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.18762657046318054, Loss: -0.6247468590736389, Success Rate: 0.35999998450279236
Attacker: Zhang_Jie, Target: 137, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.17549967765808105, Loss: -0.6490006446838379, Success Rate: 0.3999999761581421
Attacker: Zhang_Jie, Target: 137, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.4437330663204193, Loss: -0.11253386735916138, Success Rate: 0.5799999833106995
Attacker: Zhang_Jie, Target: 137, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.6441923975944519, Loss: 0.2883847951889038, Success Rate: 0.8399999737739563
Attacker: Zhang_Jie, Target: 144, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.41410449147224426, Loss: -0.17179101705551147, Success Rate: 0.6200000047683716
Attacker: Zhang_Jie, Target: 144, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.32184845209121704, Loss: -0.3563030958175659, Success Rate: 0.41999998688697815
Attacker: Zhang_Jie, Target: 144, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.04667847231030464, Loss: -0.9066430330276489, Success Rate: 0.07999999821186066
Attacker: Gao_Zhen_Bo, Target: 2, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.016127435490489006, Loss: -0.9677451252937317, Success Rate: 0.0
Attacker: Gao_Zhen_Bo, Target: 2, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.49089786410331726, Loss: -0.01820427179336548, Success Rate: 0.6744186282157898
Attacker: Gao_Zhen_Bo, Target: 2, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.24062679708003998, Loss: -0.5187463760375977, Success Rate: 0.5116279125213623
Attacker: Gao_Zhen_Bo, Target: 12, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.02081676758825779, Loss: -0.9583664536476135, Success Rate: 0.09302325546741486
Attacker: Gao_Zhen_Bo, Target: 12, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.014291828498244286, Loss: -0.9714163541793823, Success Rate: 0.023255813866853714
Attacker: Gao_Zhen_Bo, Target: 2, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.016127439215779305, Loss: -0.9677451252937317, Success Rate: 0.0
Attacker: Gao_Zhen_Bo, Target: 2, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.49089351296424866, Loss: -0.018212974071502686, Success Rate: 0.6744186282157898
Attacker: Gao_Zhen_Bo, Target: 2, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.016127783805131912, Loss: -0.9677444100379944, Success Rate: 0.0
Attacker: Gao_Zhen_Bo, Target: 2, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.49089840054512024, Loss: -0.01820319890975952, Success Rate: 0.6744186282157898
Attacker: Gao_Zhen_Bo, Target: 2, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.0161269661039114, Loss: -0.9677460789680481, Success Rate: 0.0
Attacker: Gao_Zhen_Bo, Target: 2, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.4908965229988098, Loss: -0.01820695400238037, Success Rate: 0.6744186282157898
Attacker: Gao_Zhen_Bo, Target: 2, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.240616574883461, Loss: -0.5187668800354004, Success Rate: 0.5116279125213623
Attacker: Gao_Zhen_Bo, Target: 12, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.020817415788769722, Loss: -0.9583651423454285, Success Rate: 0.09302325546741486
Attacker: Gao_Zhen_Bo, Target: 12, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.014291658066213131, Loss: -0.971416711807251, Success Rate: 0.023255813866853714
Attacker: Gao_Zhen_Bo, Target: 12, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.012430072762072086, Loss: -0.975139856338501, Success Rate: 0.04651162773370743
Attacker: Gao_Zhen_Bo, Target: 24, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.0064725251868367195, Loss: -0.9870549440383911, Success Rate: 0.0
Attacker: Gao_Zhen_Bo, Target: 24, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.2929791212081909, Loss: -0.41404175758361816, Success Rate: 0.5581395626068115
Attacker: Gao_Zhen_Bo, Target: 24, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.019990213215351105, Loss: -0.960019588470459, Success Rate: 0.0
Attacker: Jiang_Cheng_Pu, Target: 5, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.056357163935899734, Loss: -0.8872856497764587, Success Rate: 0.07999999821186066
Attacker: Jiang_Cheng_Pu, Target: 5, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.5169358849525452, Loss: 0.03387176990509033, Success Rate: 0.7199999690055847
Attacker: Jiang_Cheng_Pu, Target: 5, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.05309457704424858, Loss: -0.8938108682632446, Success Rate: 0.03999999910593033
Attacker: Jiang_Cheng_Pu, Target: 15, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.015343005768954754, Loss: -0.9693139791488647, Success Rate: 0.0
Attacker: Jiang_Cheng_Pu, Target: 15, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.5117594599723816, Loss: 0.023518919944763184, Success Rate: 0.7400000095367432
Attacker: Jiang_Cheng_Pu, Target: 15, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.005435931496322155, Loss: -0.9891281127929688, Success Rate: 0.0
Attacker: Jiang_Cheng_Pu, Target: 25, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.27108117938041687, Loss: -0.45783764123916626, Success Rate: 0.3999999761581421
Attacker: Jiang_Cheng_Pu, Target: 25, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.33427831530570984, Loss: -0.3314433693885803, Success Rate: 0.5199999809265137
Attacker: Jiang_Cheng_Pu, Target: 25, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.19174550473690033, Loss: -0.616508960723877, Success Rate: 0.4599999785423279
Attacker: Liu_Hui_Sen, Target: 19, Attacked Model: ArcFace, Attack Mode: impersonate, Prob: 0.0013173187617212534, Loss: -0.9973653554916382, Success Rate: 0.0
Attacker: Liu_Hui_Sen, Target: 19, Attacked Model: CosFace, Attack Mode: impersonate, Prob: 0.7040100693702698, Loss: 0.40802013874053955, Success Rate: 0.8999999761581421
Attacker: Liu_Hui_Sen, Target: 19, Attacked Model: FaceNet, Attack Mode: impersonate, Prob: 0.21471953392028809, Loss: -0.5705609321594238, Success Rate: 0.35999998450279236
